MetadataComponentId;MetadataComponentName;MetadataComponentType;MetadataComponentNamespace;RefMetadataComponentId ;RefMetadataComponentName;RefMetadataComponentNamespace;RefMetadataComponentType
01p1I000009RyKBQA0;pkb_mobile_proxy;null;ApexClass;01I1I000001G9PBUA0;PKB;null;CustomObject
01p1I000009RyKSQA0;pkb_SettingsController;null;ApexClass;01I1I000001G9PBUA0;PKB;null;CustomObject
01p1I000009RyKWQA0;pkb_mobile_Test;null;ApexClass;01I1I000001G9PBUA0;PKB;null;CustomObject
01p1I000009RyKXQA0;pkb_mobile_controller;null;ApexClass;01I1I000001G9PBUA0;PKB;null;CustomObject
01p1I000009RyKjQAK;pkb_Controller;null;ApexClass;01I1I000001G9PBUA0;PKB;null;CustomObject
01p1I000009RyhrQAC;pkb_Test;null;ApexClass;01I1I000001G9PBUA0;PKB;null;CustomObject
0661I000002qnRZQAY;pkb_Settings;null;ApexPage;01I1I000001G9PBUA0;PKB;null;CustomObject
01p1I000009RyKLQA0;pkb_Mobile_CustomSettingModel;null;ApexClass;01I1I000001G9PCUA0;pkb_ka;null;CustomObject
01p1I000009RyKSQA0;pkb_SettingsController;null;ApexClass;01I1I000001G9PCUA0;pkb_ka;null;CustomObject
01p1I000009RyKWQA0;pkb_mobile_Test;null;ApexClass;01I1I000001G9PCUA0;pkb_ka;null;CustomObject
01pm0000000ilFXAAY;TestClass;null;ApexClass;01I1I000000fiB2UAI;test01;null;CustomObject
01p1I000009RyJqQAK;umCustomSettingModel;null;ApexClass;01I1I000001G9PEUA0;umKALayout;null;CustomObject
01p1I000009RyK3QAK;umTestEnvironment;null;ApexClass;01I1I000001G9PEUA0;umKALayout;null;CustomObject
01p1I000009RyhxQAC;umCustomSettingModelTest;null;ApexClass;01I1I000001G9PEUA0;umKALayout;null;CustomObject
01p1I000009RyJqQAK;umCustomSettingModel;null;ApexClass;01I1I000001G9PFUA0;umKBDataCategory;null;CustomObject
01p1I000009RyJqQAK;umCustomSettingModel;null;ApexClass;01I1I000001G9PGUA0;umModerator;null;CustomObject
01p1I000009RyK3QAK;umTestEnvironment;null;ApexClass;01I1I000001G9PGUA0;umModerator;null;CustomObject
01p1I000009RyhxQAC;umCustomSettingModelTest;null;ApexClass;01I1I000001G9PGUA0;umModerator;null;CustomObject
01p1I000009RyJqQAK;umCustomSettingModel;null;ApexClass;01I1I000001G9PHUA0;umSite;null;CustomObject
01p1I000009RyJrQAK;umController;null;ApexClass;01I1I000001G9PHUA0;umSite;null;CustomObject
01p1I000009RyK3QAK;umTestEnvironment;null;ApexClass;01I1I000001G9PHUA0;umSite;null;CustomObject
01p1I000009RyhxQAC;umCustomSettingModelTest;null;ApexClass;01I1I000001G9PHUA0;umSite;null;CustomObject
01p1I000009RyJqQAK;umCustomSettingModel;null;ApexClass;01I1I000001G9PIUA0;umZone;null;CustomObject
01p1I000009RyK3QAK;umTestEnvironment;null;ApexClass;01I1I000001G9PIUA0;umZone;null;CustomObject
01p1I000009RyKxQAK;umKnowledgeBaseModel;null;ApexClass;01I1I000001G9PIUA0;umZone;null;CustomObject
01p1I000009RyhxQAC;umCustomSettingModelTest;null;ApexClass;01I1I000001G9PIUA0;umZone;null;CustomObject
